Sex,Age,Height,Weight,NOC,Year,Medal,sport_en
0,25.0,174.0,54.0,4,2008,2.0,29
1,23.0,182.0,76.0,4,2012,3.0,40
0,21.0,180.0,67.0,4,2004,1.0,43
0,20.0,166.0,54.0,4,2008,3.0,41
0,24.0,166.0,54.0,4,2012,2.0,41
0,28.0,170.0,63.0,4,2012,1.0,16
0,20.0,167.0,64.0,4,2004,1.0,40
1,26.0,165.0,62.0,4,2012,1.0,14
0,24.0,167.0,58.0,4,2012,2.0,3
1,24.0,176.0,74.0,4,2004,1.0,42
1,28.0,176.0,74.0,4,2008,1.0,42
1,28.0,176.0,74.0,4,2008,1.0,42
1,23.0,175.0,72.0,4,2012,1.0,42
1,27.0,175.0,72.0,4,2016,1.0,42
1,27.0,175.0,72.0,4,2016,1.0,42
0,28.0,174.0,70.0,4,2008,2.0,23
0,21.0,189.0,76.0,4,2008,3.0,47
0,16.0,151.0,35.0,4,2016,3.0,21
1,27.0,185.0,90.0,4,2004,1.0,10
1,31.0,185.0,90.0,4,2008,1.0,10
0,27.0,173.0,123.0,4,2016,1.0,49
0,22.0,175.0,62.0,4,2008,2.0,16
0,23.0,164.0,51.0,4,2004,3.0,42
1,26.0,171.0,80.0,4,2000,3.0,33
0,27.0,173.0,57.0,4,2016,3.0,30
0,23.0,176.0,64.0,4,2008,2.0,23
0,19.0,178.0,64.0,4,2004,2.0,40
0,23.0,178.0,64.0,4,2008,3.0,40
0,23.0,178.0,64.0,4,2008,2.0,40
0,23.0,178.0,64.0,4,2008,3.0,40
0,30.0,160.0,46.0,4,2010,2.0,17
1,22.0,178.0,77.0,4,2008,1.0,33
1,30.0,178.0,77.0,4,2016,3.0,33
1,23.0,165.0,62.0,4,2004,1.0,14
0,21.0,160.0,45.0,4,2012,3.0,2
0,24.0,172.0,70.0,4,2004,3.0,25
1,22.0,170.0,65.0,4,2008,3.0,14
1,22.0,170.0,65.0,4,2008,1.0,14
1,26.0,170.0,65.0,4,2012,2.0,14
1,26.0,170.0,65.0,4,2012,1.0,14
1,30.0,170.0,65.0,4,2016,3.0,14
